FileName,Type,Name,ReleaseDate,Eoas,Eol,Version,Date
eks,versions,1.21-eks-4,2021-12-13,,,,
eks,versions,1.21-eks-3,2021-11-08,,,,
eks,versions,1.20-eks-3,2021-11-08,,,,
eks,versions,1.19-eks-7,2021-11-08,,,,
eks,versions,1.21-eks-2,2021-09-17,,,,
eks,versions,1.19-eks-6,2021-09-17,,,,
eks,versions,1.20-eks-2,2021-07-30,,,,
eks,versions,1.21-eks-1,2021-07-19,,,,
eks,versions,1.19-eks-5,2021-06-01,,,,
eks,versions,1.20-eks-1,2021-05-18,,,,
eks,versions,1.19-eks-4,2021-05-04,,,,
eks,versions,1.19-eks-3,2021-04-14,,,,
eks,versions,1.19-eks-2,2021-03-23,,,,
eks,versions,1.19-eks-1,2021-02-16,,,,
devuan,versions,5.0.0,2023-08-15,,,,
devuan,versions,4.0.0,2021-10-14,,,,
devuan,versions,3.1.0,2021-02-15,,,,
devuan,versions,3.0.0,2020-06-02,,,,
devuan,versions,2.1,2019-11-25,,,,
devuan,versions,2.0.0,2018-06-09,,,,
devuan,versions,1.0.0,2017-05-25,,,,
amazon-linux,versions,2023.6.20250115.0,2025-01-24,,,,
amazon-linux,versions,2.0.20250116.0,2025-01-24,,,,
amazon-linux,versions,2023.6.20250114.0,2025-01-15,,,,
amazon-linux,versions,2.0.20250113.0,2025-01-15,,,,
amazon-linux,versions,2023.6.20250107.0,2025-01-11,,,,
amazon-linux,versions,2.0.20250108.0,2025-01-11,,,,
amazon-linux,versions,2023.6.20241212.0,2025-01-08,,,,
amazon-linux,versions,2018.03.0.20231218.0,2025-01-08,,,,
amazon-linux,versions,2.0.20241113.1,2025-01-08,,,,
amazon-linux,versions,2023.6.20241121.0,2024-12-03,,,,
amazon-linux,versions,2023.6.20241111.0,2024-11-16,,,,
amazon-linux,versions,2023.6.20241031.0,2024-11-13,,,,
amazon-linux,versions,2.0.20241031.0,2024-11-12,,,,
amazon-linux,versions,2023.6.20241010.0,2024-10-21,,,,
amazon-linux,versions,2.0.20241014.0,2024-10-21,,,,
amazon-linux,versions,2023.5.20241001.1,2024-10-08,,,,
amazon-linux,versions,2.0.20241001.0,2024-10-08,,,,
amazon-linux,versions,2023.5.20240916.0,2024-09-24,,,,
amazon-linux,versions,2.0.20240916.0,2024-09-24,,,,
amazon-linux,versions,2023.5.20240903.0,2024-09-07,,,,
amazon-linux,versions,2.0.20240903.0,2024-09-07,,,,
amazon-linux,versions,2023.5.20240819.0,2024-08-23,,,,
amazon-linux,versions,2.0.20240816.0,2024-08-23,,,,
amazon-linux,versions,2023.5.20240805.0,2024-08-09,,,,
amazon-linux,versions,2023.5.20240730.0,2024-08-02,,,,
amazon-linux,versions,2023.5.20240722.0,2024-07-26,,,,
amazon-linux,versions,2.0.20240719.0,2024-07-26,,,,
amazon-linux,versions,2023.5.20240708.0,2024-07-23,,,,
amazon-linux,versions,2.0.20240709.1,2024-07-23,,,,
amazon-linux,versions,2023.5.20240701.0,2024-07-04,,,,
amazon-linux,versions,2023.5.20240624.0,2024-06-28,,,,
amazon-linux,versions,2.0.20240620.0,2024-06-28,,,,
amazon-linux,versions,2023.4.20240611.0,2024-06-20,,,,
amazon-linux,versions,2.0.20240610.1,2024-06-20,,,,
amazon-linux,versions,2023.4.20240528.0,2024-06-05,,,,
amazon-linux,versions,2.0.20240529.0,2024-06-05,,,,
amazon-linux,versions,2023.4.20240416.0,2024-04-19,,,,
amazon-linux,versions,2.0.20240412.0,2024-04-19,,,,
amazon-linux,versions,2023.4.20240401.1,2024-04-05,,,,
amazon-linux,versions,2.0.20240329.0,2024-04-05,,,,
amazon-linux,versions,2023.3.20240312.0,2024-03-16,,,,
amazon-linux,versions,2.0.20240306.2,2024-03-16,,,,
